StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q22,Q20,Q26,Q24,QID19,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q16,Q17,sessiontoken
17/06/2021 17:30,17/06/2021 17:35,IP Address,109.153.224.176,100,315,TRUE,17/06/2021 17:35,R_1KoTcyT1JInj2M8,,,,,53.26269531,-1.483901978,anonymous,EN,18,Male,United Kingdom,White,High school degree or equivalent (A levels),7,15,Yes,1200,15,Damage,4254,4104,Solo queue,Training maps (workshop),80,5,5,0,10,0,0,0,0,5,10,0,0,5,0,0,0,5,0,0,0,0,0,0,75,Casual,No,FbWHxQjp1623946211837
02/07/2021 23:02,02/07/2021 23:08,IP Address,77.97.245.197,100,376,TRUE,02/07/2021 23:08,R_1QGHYi2CuJi9Xr5,,,,,51.65390015,-0.088806152,anonymous,EN,23,Male,United Kingdom,White,Bachelor's degree,4,19,No,3000,4,Tank,3850,3700,Solo queue,VOD reviewing,20,10,10,20,15,5,20,5,25,25,5,5,0,0,0,0,0,0,0,0,0,5,0,0,30,Casual,No,K00kP6zD1625262092016
02/07/2021 23:12,02/07/2021 23:17,IP Address,189.158.226.42,100,271,TRUE,02/07/2021 23:17,R_3oR7mR4YyD67Ds7,,,,,25.77020264,-100.3916016,anonymous,EN,27,Male,Mexico,Hispanic or Latino,Bachelor's degree,6,22,No,1015,9,Tank,3000,2500,Solo queue,"Training maps (workshop),YouTube video",5,25,15,25,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Casual,No,kWUvX8Nm1625262420154
02/07/2021 23:24,02/07/2021 23:30,IP Address,173.90.168.118,100,325,TRUE,02/07/2021 23:30,R_8G336gK9IMkgFeF,,,,,41.39590454,-82.00350189,anonymous,EN,27,Male,United States,White,Bachelor's degree,7,19,No,200,20,Tank,3000,3000,Team,"Training maps (workshop),YouTube video,Coaching (team)",20,10,30,10,20,10,0,10,0,0,30,0,20,0,0,0,0,20,0,0,0,20,0,0,0,Professional,Yes,NAlDXKUp1625263234825
02/07/2021 23:31,02/07/2021 23:36,IP Address,93.173.120.5,100,295,TRUE,02/07/2021 23:36,R_sTmIfEwqrds766Z,,,,,32.06660461,34.76519775,anonymous,EN,21,Male,Israel,White,High school degree or equivalent (A levels),6,17,No,500,4,Support,4300,4000,Solo queue,YouTube video,95,0,0,0,0,0,5,74,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,19,0,Casual,No,DPXvzMod1625263591137
02/07/2021 23:31,02/07/2021 23:39,IP Address,74.141.225.196,100,479,TRUE,02/07/2021 23:39,R_2ayLGKVAXjPhdXV,,,,,40.15229797,-84.25019836,anonymous,EN,32,Male,United States ,White,Bachelor's degree,6,31,No,150,3,Tank,2000,2000,Team,Training maps (workshop),20,10,10,20,10,30,0,10,5,5,10,5,0,0,20,0,0,5,0,20,0,20,0,0,0,Casual,No,jBDGiVbS1625263525814
02/07/2021 22:54,02/07/2021 23:41,IP Address,72.13.86.178,100,2802,TRUE,02/07/2021 23:41,R_yViuIY3ZMgWCnpn,,,,,37.36979675,-121.8160019,anonymous,EN,30,Female,US,White,Bachelor's degree,8,20,Yes,123,124,Tank,123,123,Solo queue,Training maps (workshop),10,10,10,10,10,10,40,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,Casual,Yes,zQNGjalR1625262824654
02/07/2021 23:36,02/07/2021 23:44,IP Address,5.70.130.254,100,459,TRUE,02/07/2021 23:44,R_a9nLxwwq7Y8QRHj,,,,,51.75219727,-1.836898804,anonymous,EN,19,Male,England,White,High school degree or equivalent (A levels),5,14,Yes,3000,8,Damage,2730,2450,Solo queue,"Training maps (workshop),YouTube video",70,15,15,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,Casual,No,2JX3xOJ01625264011299
03/07/2021 00:41,03/07/2021 00:43,IP Address,66.75.235.21,100,105,TRUE,03/07/2021 00:43,R_3sax9acOjW0lWwm,,,,,32.7993927,-117.1685944,anonymous,EN,25,Male,United States,White,Master's degree,7,18,Yes,500,16,Tank,3200,3200,Team,"Training maps (workshop),YouTube video",20,20,30,20,10,0,0,0,20,0,30,0,0,20,0,0,0,0,0,0,30,0,0,0,0,Casual,No,EWvgJoUr1625265358271
03/07/2021 01:34,03/07/2021 01:37,IP Address,86.133.85.116,100,179,TRUE,03/07/2021 01:37,R_337sG72OysKkpnd,,,,,53.07069397,-2.55329895,anonymous,EN,18,Male,United Kingdom,Asian/Pacific Islander,High school degree or equivalent (A levels),8,13,No,400,15,Damage,2100,1950,Solo queue,"Training maps (workshop),VOD reviewing,YouTube video",40,0,0,10,0,50,0,0,0,75,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,Casual,No,jyTYYB0J1625271013012
03/07/2021 01:37,03/07/2021 01:40,IP Address,142.126.182.153,100,171,TRUE,03/07/2021 01:40,R_3hfnp1240toCnFN,,,,,43.69110107,-79.33529663,anonymous,EN,35,Male,Canada,Asian/Pacific Islander,Bachelor's degree,7,30,No,1200,10,Support,3500,3221,Solo queue,"Training maps (workshop),YouTube video",75,10,10,5,0,0,0,0,10,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,50,Casual,No,4xgijuVR1625270926699
03/07/2021 02:38,03/07/2021 02:42,IP Address,72.20.86.199,100,282,TRUE,03/07/2021 02:42,R_2ZC7qcjeJ7zSs4R,,,,,46.80569458,-102.7565002,anonymous,EN,20,Female,"Albany, New York",Black or African American,Bachelor's degree,6,18,Yes,1,0.5,Tank,100,100,Team,Coaching (individual),20,10,30,10,20,10,0,10,10,10,5,10,5,5,5,5,5,10,0,10,0,5,5,0,0,Casual,No,UrTwF0611625274503638
03/07/2021 03:09,03/07/2021 03:14,IP Address,50.26.126.158,100,271,TRUE,03/07/2021 03:14,R_VUStF18KyvtMY6t,,,,,35.22940063,-101.8106003,anonymous,EN,42,Female,English,White,Bachelor's degree,6,8,No,25,0.5,Tank,1500,2000,Solo queue,Coaching (individual),15,25,25,5,5,15,10,15,0,10,5,5,5,5,15,5,5,5,5,5,5,5,5,0,0,Professional,No,UB0GLJ1S1625275445621
03/07/2021 03:28,03/07/2021 03:32,IP Address,73.116.111.133,100,265,TRUE,03/07/2021 03:32,R_2R7VvVbrqoKL9Zi,,,,,39.74580383,-121.8443985,anonymous,EN,19,Female,New Iberia,Asian/Pacific Islander,No schooling completed,4,18,Yes,8,5,Damage,20,30,Solo queue,Coaching (individual),10,20,20,10,10,10,20,10,10,10,10,0,0,0,0,0,0,0,0,20,0,20,0,20,0,Casual,Yes,08w1C78V1625277753825
03/07/2021 03:30,03/07/2021 03:35,IP Address,74.76.30.35,100,301,TRUE,03/07/2021 03:35,R_1q55ECCSODnCeOf,,,,,42.70239258,-74.92019653,anonymous,EN,25,Female,"Atlanta, Georgia",Native American or American Indian,Bachelor's degree,7,16,Yes,350,3,Tank,50,50,Team,"YouTube video,Coaching (individual)",10,20,40,10,20,0,0,20,10,10,10,20,10,10,10,0,0,0,0,0,0,0,0,0,0,Casual,No,ZopdMFbw1625277959111
03/07/2021 03:47,03/07/2021 03:51,IP Address,71.227.211.192,100,218,TRUE,03/07/2021 03:51,R_WC0y2mULt2H0Lap,,,,,48.01319885,-122.0679016,anonymous,EN,28,Female,USA,Native American or American Indian,Bachelor's degree,5,18,Yes,120,14,Damage,4000,2000,Team,"VOD reviewing,Coaching (team)",20,10,20,0,50,0,0,0,0,0,20,40,10,0,0,20,0,0,10,0,0,0,0,0,0,Casual,Yes,Qn8mHe0V1625278500136
03/07/2021 03:55,03/07/2021 03:59,IP Address,72.128.22.115,100,250,TRUE,03/07/2021 03:59,R_eaMGOP1e6KasTS1,,,,,33.00320435,-96.54340363,anonymous,EN,25,Male,United States,White,Master's degree,6,21,Yes,700,4,Support,3100,2800,Team,"Training maps (workshop),VOD reviewing,YouTube video",40,0,20,20,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,30,50,Casual,No,Pf8EZEz91625279496481
03/07/2021 04:31,03/07/2021 04:33,IP Address,216.16.58.41,100,143,TRUE,03/07/2021 04:33,R_31LgJPUOvBL58c1,,,,,44.90480042,-97.1242981,anonymous,EN,29,Female,Walter E Cloud,White,High school degree or equivalent (A levels),6,18,Yes,15,20,Tank,20,10,Solo queue,YouTube video,20,0,0,50,0,30,0,20,0,0,20,0,0,20,0,0,0,20,0,0,0,20,0,0,0,Professional,Yes,p5T0z4fp1625282143949
03/07/2021 04:35,03/07/2021 04:38,IP Address,24.162.11.149,100,145,TRUE,03/07/2021 04:38,R_2B5m2nZllTq7eRU,,,,,29.54429626,-98.54989624,anonymous,EN,18,Male,"Owosso, Michigan",Black or African American,High school degree or equivalent (A levels),6,18,No,0.5,2,Support,50,20,Team,Coaching (individual),10,20,10,10,30,10,10,10,10,5,5,10,20,10,30,0,0,0,0,0,0,0,0,0,0,Casual,Yes,Ae5apEoW1625282318304
03/07/2021 04:38,03/07/2021 04:42,IP Address,98.32.170.7,100,263,TRUE,03/07/2021 04:42,R_1CfhHW9an4C3iVh,,,,,41.47799683,-87.94830322,anonymous,EN,39,Prefer not to say,English,White,Bachelor's degree,4,2,No,580,5,Tank,3500,1000,Solo queue,VOD reviewing,50,15,20,15,0,0,0,0,0,0,25,0,0,0,25,0,0,30,0,0,20,0,0,0,0,Casual,No,fH0C9Zz01625282128398
03/07/2021 04:43,03/07/2021 04:47,IP Address,24.10.10.47,100,269,TRUE,03/07/2021 04:47,R_123HlciolzKpfJh,,,,,38.46890259,-121.3440018,anonymous,EN,35,Male,United States,Asian/Pacific Islander,Master's degree,8,30,No,900,10,Prefer not to say,3700,3000,Solo queue,"YouTube video,Other",50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Casual,No,UGW6dTXz1625282399680
03/07/2021 04:50,03/07/2021 04:53,IP Address,72.199.232.176,100,185,TRUE,03/07/2021 04:53,R_31gCWpL02gTmB58,,,,,33.03129578,-116.8578949,anonymous,EN,23,Female," New York, New York",Hispanic or Latino,Bachelor's degree,6,17,Yes,350,25,Tank,56,56,Team,"VOD reviewing,YouTube video",10,30,20,10,10,20,0,10,20,10,10,10,30,10,0,0,0,0,0,0,0,0,0,0,0,Casual,No,CZttY5qt1625283263127
03/07/2021 05:20,03/07/2021 05:22,IP Address,50.93.2.216,100,175,TRUE,03/07/2021 05:22,R_AvudamZUYIwHzQB,,,,,51.0605011,-114.110199,anonymous,EN,25,Other,Canada,White,Bachelor's degree,7,24,Yes,1500,6,Support,3120,2810,Solo queue,YouTube video,90,0,10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casual,No,5ZAUYEfu1625284291044
03/07/2021 06:38,03/07/2021 06:41,IP Address,73.93.239.119,100,161,TRUE,03/07/2021 06:41,R_21cd426pq6AWXIV,,,,,37.76879883,-122.262001,anonymous,EN,44,Male,usa,Native American or American Indian,Bachelor's degree,2,42,Yes,600,10,Damage,3800,3500,Solo queue,YouTube video,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Casual,Yes,9g0tgj3o1625289621135
03/07/2021 07:16,03/07/2021 07:19,IP Address,72.190.10.204,100,159,TRUE,03/07/2021 07:19,R_2AMDpEoQ8kiSlTO,,,,,32.85450745,-96.59909821,anonymous,EN,28,Male,Canada,White,Bachelor's degree,5,17,Yes,120,24,Tank,3500,1000,Team,"Training maps (workshop),YouTube video",20,20,10,10,40,0,0,0,0,30,0,40,0,0,10,0,20,0,0,0,0,0,0,0,0,Casual,Yes,Q0Tv85Ei1625292053607
03/07/2021 07:45,03/07/2021 07:49,IP Address,72.177.102.46,100,247,TRUE,03/07/2021 07:49,R_3jYWkTm5uO1uP1M,,,,,30.77659607,-98.2641983,anonymous,EN,21,Male,Norwalk,Asian/Pacific Islander,High school degree or equivalent (A levels),4,10,Yes,12,10,Damage,10,6,Team,"VOD reviewing,Coaching (individual)",15,5,11,9,20,20,20,10,2,3,5,8,2,3,3,3,4,7,10,5,5,5,5,10,10,Casual,Yes,yMFSs2dH1625293521084
03/07/2021 07:48,03/07/2021 07:52,IP Address,173.168.9.45,100,197,TRUE,03/07/2021 07:52,R_71HmKwfHU3ph3pL,,,,,28.00559998,-82.11219788,anonymous,EN,18,Male,"Madison, Wisconsin",Black or African American,High school degree or equivalent (A levels),7,16,No,2,3,Support,50,30,Team,Coaching (individual),15,20,10,10,5,20,20,10,10,10,10,20,20,20,0,0,0,0,0,0,0,0,0,0,0,Casual,Yes,fX1pz3Sj1625294141545
03/07/2021 07:52,03/07/2021 07:54,IP Address,99.41.102.251,100,129,TRUE,03/07/2021 07:54,R_a3jE6d2L8dtZJJf,,,,,36.02839661,-95.93060303,anonymous,EN,20,Female, Ravenna,Black or African American,High school degree or equivalent (A levels),5,18,Yes,10,8,Tank,16,12,Solo queue,VOD reviewing,10,10,10,20,50,0,0,10,0,0,0,0,30,0,0,0,10,0,0,20,0,0,30,0,0,Professional,Yes,dg769fj21625294259947
03/07/2021 08:06,03/07/2021 08:10,IP Address,67.185.227.114,100,201,TRUE,03/07/2021 08:10,R_33dPfMXCTQz1RbY,,,,,47.65170288,-117.0838013,anonymous,EN,18,Male,State,White,High school degree or equivalent (A levels),5,14,Yes,300,2,Tank,3500,500,Solo queue,Coaching (individual),25,50,15,5,5,0,0,25,0,50,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Professional,No,QIOlp8Sd1625295119324
03/07/2021 08:19,03/07/2021 08:23,IP Address,173.68.79.247,100,265,TRUE,03/07/2021 08:23,R_2SIkh9kiVGFVvP8,,,,,40.57949829,-73.98889923,anonymous,EN,20,Female," Council Hill, Oklahoma",Native American or American Indian,Bachelor's degree,7,16,Yes,240,30,Tank,56,56,Team,"VOD reviewing,YouTube video,Coaching (individual)",10,20,30,10,10,10,10,10,10,20,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,Casual,Yes,N50NpdmQ1625295906390
03/07/2021 08:47,03/07/2021 08:50,IP Address,74.96.205.175,100,159,TRUE,03/07/2021 08:50,R_22KzZARfFmhibo1,,,,,38.83410645,-76.79740143,anonymous,EN,21,Female,Longview,Black or African American,High school degree or equivalent (A levels),6,10,Yes,10,8,Tank,5,3,Team,VOD reviewing,10,20,15,5,25,5,20,10,5,3,2,10,5,5,2,5,8,7,3,6,4,5,5,5,10,Professional,Yes,VrL0c3wK1625297442109
03/07/2021 08:59,03/07/2021 09:01,IP Address,104.220.208.88,100,152,TRUE,03/07/2021 09:01,R_1qUGaNEvrqBFdla,,,,,38.56619263,-121.5525055,anonymous,EN,20,Female,"Fort Myers, Florida",Black or African American,High school degree or equivalent (A levels),7,18,No,0.5,3,Support,20,60,Team,Coaching (individual),20,20,30,10,10,10,0,0,10,0,20,0,20,0,20,0,0,30,0,0,0,0,0,0,0,Casual,No,b9JXhJE01625298322078
03/07/2021 09:09,03/07/2021 09:12,IP Address,174.52.45.232,100,128,TRUE,03/07/2021 09:12,R_21yYiHoAdCtXrNL,,,,,40.5980072,-111.9618988,anonymous,EN,24,Male,State,White,High school degree or equivalent (A levels),7,12,Yes,500,2,Tank,5000,200,Solo queue,VOD reviewing,50,25,25,0,0,0,0,20,0,25,0,0,25,0,30,0,0,0,0,0,0,0,0,0,0,Casual,No,IfRYGq0o1625298802509
03/07/2021 09:17,03/07/2021 09:20,IP Address,71.193.129.49,100,162,TRUE,03/07/2021 09:20,R_30obALimIcmmmSQ,,,,,44.94659424,-123.010498,anonymous,EN,20,Female, Baltimore,Black or African American,Less than a high school diploma (GCSEs),5,16,Yes,10,10,Tank,25,15,Solo queue,VOD reviewing,20,0,0,20,30,30,0,0,0,0,10,0,0,50,0,0,0,0,20,10,0,0,10,0,0,Professional,Yes,Z094jLkj1625299301133
03/07/2021 09:18,03/07/2021 09:30,IP Address,95.131.44.86,100,767,TRUE,03/07/2021 09:30,R_Dq4LXy4F3vTbFXb,,,,,43.14790344,12.10969543,anonymous,EN,18,Male,Italy,White,High school degree or equivalent (A levels),7,16,Yes,1000,7.5,Damage,3999,3750,Prefer not to say,Prefer not to say,95,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Casual,No,tRClJT6T1625297639039
