"userCode","sessionToken","updatingaccuracy"
138451,"1DPTTnkC1625595089459",0.17
138452,"3QYQXMA71625595147819",0.11
138453,"oII4n9d31625595236969",0.63
138454,"BLDMh8L91625595256490",0.24
138455,"zPOTu20T1625595268303",0.15
138463,"JjyyIQbJ1625595338817",0.45
138464,"I30fO4Z41625595340690",0.36
138465,"0lAzUTLt1625595341735",0.17
138467,"sMiHi0ZO1625595355779",0.12
138468,"jh1J1ems1625595355086",0.13
138482,"25VAuJCA1625595508500",0.3
138490,"08lOx5KA1625595509315",0.14
138493,"SXnK1wWV1625595535394",0.1
138507,"CmDgS27S1625596521667",0.08
138508,"wncZuM0b1625596583229",0.54
138509,"dIN8Odix1625596643280",0.11
138513,"COKlERUN1625597640722",0.16
138515,"ckSWINN11625598476517",0.37
138520,"f1VvExpf1625599065691",0.14
138521,"qOliWOt41625599952084",0.07
138523,"wFt8W40D1625599957999",0.07
138524,"rDuMrvHb1625599970132",0.09
138525,"8yMn0INW1625599999751",0.12
138526,"shBUZg551625600256334",0.14
138527,"Q2eVGEFx1625601442008",0.49
138530,"qRW09uTm1625607036019",0.73
138533,"Hy0bQXCZ1625622879284",0.15
138535,"EKXKvdWx1625630483899",0.1
138546,"q04J71Yv1625674643112",0.8
138550,"sxTsvjdG1625738047435",0.28
138561,"AqyavPIf1625787479274",0.44
138562,"OIjG944j1625789503264",0.69
138563,"UAifJGyL1625794270834",0.48
138684,"6bBojwZK1626219376059",0.69
138685,"qP9Knt6O1626221242482",0.8
138686,"nf4T8wT91626223037844",0.54
138689,"UAp8PjB01626227467209",0.65
138693,"FQ2C26lQ1626254400858",0.86
138694,"gA501RRB1626256607743",0.8
138695,"sO9sGNvv1626258314332",0.74
138765,"uNq9vRD61626451241971",0.9
139350,"US6JfNj61627688445489",0.59
139353,"n4O6kXCJ1627689390561",0.71
139354,"PcCNF1js1627689409086",0.83
139358,"omvmyy1y1627689902436",0.54
139361,"V3rA1nLQ1627691555629",0.32
139362,"ZQYUQSvI1627691868284",0.64
139364,"YP98WBXD1627692678740",0.55
139371,"gVYdzdAZ1627695003432",0.83
139379,"Td0qJy4u1627696755830",0.56
139384,"6kvLpN6q1627698269793",0.85
139385,"wLdjZCMg1627698602078",0.86
139386,"mXKxNGbd1627699724568",0.65
139394,"pXOWHZU91627704810789",0.91
139395,"IkR8UUYi1627704851972",0.82
139399,"Z0jZA3OZ1627706402797",0.54
139407,"9IABItcG1627709485284",0.66
139426,"CEaBox951627716329892",0.56
139430,"XGEL03UF1627717923794",0.89
139431,"LoJnpPfI1627719568887",0.51
139438,"yFB8vhPf1627722884003",0.81
139439,"yL68iR861627723796999",1
139455,"aD3tu67I1627731746489",0.79
139460,"jm3tOZmp1627733538094",0.51
139464,"n1S0HkTn1627735381793",0.85
139466,"L6Dy20ly1627737426196",0.91
139476,"17n14lHO1627746293331",0.89
139477,"AcCd7bxe1627746363032",0.32
139481,"vVMHHldk1627753672074",0.45
139483,"96ka69RH1627756666826",0.55
139487,"C0PyjbjJ1627760317416",1
139494,"upL6gYkv1627774375989",1
139496,"sBalk3rf1627799663496",0.6
139500,"2aRtBVa61627856549795",0.41
139535,"X5HaYsEs1627910363978",0.87
139538,"dJZB082Z1627915898256",0.37
139542,"CpOHdhEm1627943480971",0.5
